policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,deadline_sweep_ms
oracle_feasible,stable,101,50.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,102,50.0,1000,74.83588047307674,83.70682378335115,84.74818297607158,84.96524097297277,74.83588047307674,1.0,0.727324394359075,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,102,50.0,1000,74.83588047307674,83.70682378335115,84.74818297607158,84.96524097297277,74.83588047307674,1.0,0.727324394359075,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.992,0.0,0.0,0.992,0.0,0.008,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,102,50.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,103,50.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,103,50.0,1000,74.97207804451821,84.29318718635234,84.89307765319619,84.99802137082617,74.97207804451821,1.0,0.7236659440861409,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,103,50.0,1000,74.97207804451821,84.29318718635234,84.89307765319619,84.99802137082617,74.97207804451821,1.0,0.7236659440861409,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.993,0.0,0.0,0.993,0.0,0.007,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,103,50.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,103,50.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,103,50.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,103,50.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,103,50.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,104,50.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,104,50.0,1000,74.98622097286207,83.86011537767014,84.7483740861996,84.98656616097203,74.98622097286207,1.0,0.7240926018777877,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,0.99,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
