deadline_sweep_ms,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
50.0,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
50.0,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
50.0,stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
50.0,stable,dapper,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
50.0,stable,deadline_greedy,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
50.0,stable,deadline_greedy,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
50.0,stable,deadline_greedy,usable_confidence_proxy,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,deadline_greedy,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
50.0,stable,deadline_greedy,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,stable,deadline_greedy,pct_local_fast,100.0,0.0,100.0,100.0,30
