deadline_sweep_ms,profile,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,remote_attempt_rate,remote_accept_rate,deadline_miss_rate,p95_latency_ms,usable_confidence_proxy,bandwidth_per_1000_frames_kb
50.0,congested,0.19333333333333333,0.0,0.0,99.80666666666666,0.0,0.0,0.0,31.175662369699555,0.7250032898678016,0.0
50.0,lossy,79.91000000000001,0.0,0.0,20.09,0.0,0.0,0.0,33.75081637402,0.7248585789444569,0.0
50.0,outage,22.63,0.0,0.0,77.36999999999999,0.0,0.0,0.0,31.188384251969367,0.7255264574970844,0.0
50.0,stable,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.984265110354684,0.7249667322554327,0.0
50.0,variable,39.413333333333334,0.0,0.0,60.586666666666666,0.0,0.0,0.0,32.83816402431469,0.7253141763096723,0.0
75.0,congested,39.86333333333334,0.0,0.0,60.13666666666666,0.0,0.0,0.0,32.955101010446,0.7251403774940065,0.0
75.0,lossy,99.99666666666667,0.0,0.0033333333333333335,0.0,3.3333333333333335e-05,0.0,0.0,34.012278154614826,0.7247968267120142,0.8333333333333334
75.0,outage,22.63,0.0,0.0,77.36999999999999,0.0,0.0,0.0,31.188384251969367,0.7255264574970844,0.0
75.0,stable,48.25666666666667,0.0,51.74333333333333,0.0,0.5174333333333333,0.03949078700371314,0.0,33.984265110354684,0.7282442840585652,12935.833333333334
75.0,variable,76.10666666666665,0.0,1.1233333333333335,22.77,0.011233333333333333,0.06826178451178451,0.0,33.65945745094239,0.7253597934937458,280.8333333333333
100.0,congested,99.24666666666667,0.0,0.010000000000000002,0.7433333333333334,0.0001,0.0,0.0,33.936633395626274,0.7249625928802731,2.5
100.0,lossy,27.493333333333332,0.0,72.50666666666666,0.0,0.7250666666666666,0.13679093773844395,0.0,34.012278154614826,0.7405908249005024,18126.666666666668
100.0,outage,22.63,0.0,0.0,77.36999999999999,0.0,0.0,0.0,31.188384251969367,0.7255264574970844,0.0
100.0,stable,13.513333333333332,0.0,86.48666666666666,0.0,0.8648666666666666,0.5119299636219802,0.0,33.984265110354684,0.7959976928158301,21621.666666666668
100.0,variable,60.059999999999995,0.0,23.11,16.83,0.2311,0.1593225904647559,0.0,33.744077044981125,0.7315378293803061,5777.5
125.0,congested,99.99,0.0,0.010000000000000002,0.0,0.0001,0.0,0.0,33.94268972592376,0.7249282051819181,2.5
125.0,lossy,15.669999999999998,0.0,84.33,0.0,0.8432999999999999,0.12747672431208384,0.0,34.012278154614826,0.7419330638486504,21082.5
125.0,outage,22.63,0.0,0.0,77.36999999999999,0.0,0.0,0.0,31.188384251969367,0.7255264574970844,0.0
125.0,stable,13.513333333333332,55.62,30.866666666666667,0.0,0.8648666666666666,0.5119299636219802,0.259,148.95550079901022,0.6109753688661194,21621.666666666668
125.0,variable,60.2,0.6566666666666666,22.453333333333333,16.69,0.2311,0.1593225904647559,0.0029333333333333334,33.91428774023019,0.7294429205698274,5777.5
150.0,congested,99.99,0.0,0.010000000000000002,0.0,0.0001,0.0,0.0,33.94268972592376,0.7249282051819181,2.5
150.0,lossy,15.4,62.32333333333334,22.276666666666664,0.0,0.846,0.1272378854001313,0.5038666666666667,169.60066291697478,0.3818998473244925,21150.0
150.0,outage,22.63,0.0,0.0,77.36999999999999,0.0,0.0,0.0,31.188384251969367,0.7255264574970844,0.0
150.0,stable,13.513333333333332,86.48666666666666,0.0,0.0,0.8648666666666666,0.5119299636219802,0.09236666666666667,152.17408599779458,0.7299887862316244,21621.666666666668
150.0,variable,60.29333333333333,11.043333333333333,12.066666666666666,16.596666666666668,0.2311,0.1593225904647559,0.06939999999999999,156.0089195963997,0.6818531238656941,5777.5
200.0,congested,61.31666666666667,38.68333333333333,0.0,0.0,0.38683333333333336,0.0,0.17096666666666666,207.6278270386653,0.6026590882771597,9670.833333333334
200.0,lossy,13.346666666666666,86.65333333333334,0.0,0.0,0.8665333333333333,0.1242259784055429,0.0,173.52961334403219,0.7419488805066938,21663.333333333332
200.0,outage,22.726666666666667,0.0,0.0,77.27333333333333,0.0,0.0,0.0,31.180397455473944,0.7254843594835231,0.0
200.0,stable,13.513333333333332,86.48666666666666,0.0,0.0,0.8648666666666666,0.5119299636219802,0.0,152.17408599779458,0.7959976928158301,21621.666666666668
200.0,variable,19.426666666666666,64.73333333333333,0.0,15.84,0.6473333333333334,0.05688374431196616,0.0393,198.34300034883384,0.7040146950983882,16183.333333333334
250.0,congested,13.043333333333333,86.95666666666666,0.0,0.0,0.8695666666666667,0.0,0.0,222.22301465165702,0.7249282051819181,21739.166666666668
250.0,lossy,13.346666666666666,86.65333333333334,0.0,0.0,0.8665333333333333,0.1242259784055429,0.0,173.52961334403219,0.7419488805066938,21663.333333333332
250.0,outage,23.516666666666666,0.0,0.0,76.48333333333333,0.0,0.0,0.0,31.32403309423399,0.7253658714006942,0.0
250.0,stable,13.513333333333332,86.48666666666666,0.0,0.0,0.8648666666666666,0.5119299636219802,0.0,152.17408599779458,0.7959976928158301,21621.666666666668
250.0,variable,16.676666666666666,67.56666666666666,0.0,15.756666666666666,0.6756666666666666,0.05453091012891856,0.0,202.12803612860523,0.7320228454791564,16891.666666666668
50.0,ALL,48.42933333333333,0.0,0.0,51.57066666666667,0.0,0.0,0.0,32.587458426071656,0.7251338469748896,0.0
75.0,ALL,57.37066666666667,0.0,10.574000000000002,32.05533333333334,0.10574,0.02155051430309953,0.0,33.15989719566545,0.7258135478510832,2643.5
100.0,ALL,44.58866666666667,0.0,36.422666666666665,18.988666666666667,0.36422666666666664,0.161608698365036,0.0,33.37312759150925,0.7437230794947992,9105.666666666666
125.0,ALL,42.400666666666666,11.255333333333333,27.532,18.812,0.3878733333333333,0.159745855679764,0.052386666666666665,56.402628134349676,0.70656120319272,9696.833333333334
150.0,ALL,42.36533333333333,31.97066666666667,6.870666666666666,18.793333333333333,0.38841333333333333,0.15969808789737347,0.13312666666666667,108.58294849781244,0.6488392840201628,9710.333333333334
200.0,ALL,26.066,55.31133333333334,0.0,18.622666666666667,0.5531133333333333,0.13860793726789786,0.04205333333333333,152.57098483695998,0.714020943236319,13827.833333333334
250.0,ALL,16.019333333333336,65.53266666666667,0.0,18.448,0.6553266666666666,0.13813737043128832,0.0,156.2757566432646,0.7440526990768586,16383.166666666666
