swept_parameter,swept_value,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
risk_local_threshold,0.25,lossy,dapper,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,lossy,dapper,pct_local_fast,100.0,0.0,100.0,100.0,30
risk_local_threshold,0.25,lossy,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,lossy,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,lossy,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,variable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,variable,dapper,p95_latency_ms,33.74407704498113,0.2126750836043015,33.67003978984998,33.81916560257354,30
risk_local_threshold,0.25,variable,dapper,p99_latency_ms,34.714468841675405,0.09257023559024172,34.679345892530314,34.74441433608218,30
risk_local_threshold,0.25,variable,dapper,mean_latency_ms,20.905161109397675,0.7368320428921273,20.650185695044428,21.16334665084393,30
risk_local_threshold,0.25,variable,dapper,usable_confidence_proxy,0.7255296716398308,0.0019333994954565234,0.724856843437432,0.7262049473042886,30
risk_local_threshold,0.25,variable,dapper,mean_output_confidence,0.7254816357053885,0.0019279689306177029,0.7248126763103288,0.726156283175867,30
risk_local_threshold,0.25,variable,dapper,bandwidth_per_1000_frames_kb,11.666666666666666,17.0361346865265,5.833333333333333,17.52083333333303,30
risk_local_threshold,0.25,variable,dapper,remote_attempt_rate,0.0004666666666666667,0.0006814453874610598,0.00023333333333333333,0.0007008333333333214,30
risk_local_threshold,0.25,variable,dapper,remote_accept_rate,0.21666666666666667,0.4086000770784384,0.08333333333333333,0.36666666666666664,30
risk_local_threshold,0.25,variable,dapper,remote_accepted_per_frame,0.0002666666666666667,0.0005208304597621878,0.0001,0.0004666666666666667,30
risk_local_threshold,0.25,variable,dapper,remote_rejected_deadline_rate,0.11666666666666667,0.31303115778964624,0.016666666666666666,0.23333333333333334,30
risk_local_threshold,0.25,variable,dapper,remote_failed_loss_rate,0.03333333333333333,0.18257418583505533,0.0,0.1,30
risk_local_threshold,0.25,variable,dapper,fallback_rate,0.21943333333333334,0.040132266950356946,0.20549999999999996,0.23376666666666665,30
risk_local_threshold,0.25,variable,dapper,reuse_rate,0.16830000000000003,0.030488154850808802,0.15770000000000003,0.17916666666666664,30
risk_local_threshold,0.25,variable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,variable,dapper,mode_switches_per_1000,121.8,21.512466313664543,114.26666666666667,129.3,30
risk_local_threshold,0.25,variable,dapper,pct_local_fast,83.12333333333335,3.0445749755276506,82.03658333333333,84.18333333333334,30
risk_local_threshold,0.25,variable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,variable,dapper,pct_hybrid,0.046666666666666676,0.06814453874610599,0.023333333333333334,0.07008333333333214,30
risk_local_threshold,0.25,variable,dapper,pct_degraded_safe,16.83,3.0488154850808806,15.770000000000003,17.916666666666668,30
risk_local_threshold,0.25,outage,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.25,outage,dapper,p95_latency_ms,31.18838425196936,0.5009047087578914,31.014573146138307,31.359947063348404,30
