Model,Images,Recall,Precision,Safety recall,mAP50,mAP50-95,GPU infer ms,CPU infer ms
local (YOLO11n),5000,0.507,0.704,0.623,0.546,0.389,6.1,35.2
remote (YOLO11m),5000,0.638,0.730,0.734,0.678,0.510,8.1,177.5
