profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
stable,cloud_only,pct_hybrid,0.0,0.0,0.0,0.0,30
stable,cloud_only,pct_degraded_safe,0.0,0.0,0.0,0.0,30
stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.95304205486045,25.093051974407306,30
stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.933733268366254,34.03567770889089,30
stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76064921767133,34.80671039717899,30
stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
stable,dapper,usable_confidence_proxy,0.7959976928158301,0.0030581965746421004,0.7949080850073025,0.7970417324338718,30
stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244497389647496,0.7255141489616964,30
stable,dapper,bandwidth_per_1000_frames_kb,21621.666666666668,335.8425671130112,21499.166666666668,21735.833333333332,30
stable,dapper,bandwidth_per_frame_kb,21.621666666666666,0.33584256711301114,21.499166666666664,21.735833333333336,30
stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
stable,dapper,remote_attempt_rate,0.8648666666666667,0.013433702684520463,0.8599666666666667,0.8694333333333334,30
stable,dapper,remote_accept_rate,0.5119299636219802,0.019710509684781493,0.5048710537106218,0.5185906071980788,30
stable,dapper,remote_accepted_per_frame,0.4427,0.01712862093609448,0.43670000000000003,0.4487666666666667,30
stable,dapper,remote_rejected_deadline_rate,0.47690963533308023,0.018550469460783117,0.4705699267645198,0.483496587502173,30
stable,dapper,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
stable,dapper,remote_failed_loss_rate,0.011160401044939667,0.0032782175425864904,0.01001984067376133,0.01232750572620223,30
stable,dapper,mode_switches_per_1000,233.3,23.550605819867112,225.2,241.96666666666667,30
stable,dapper,pct_local_fast,13.513333333333334,1.3433702684520452,13.056666666666667,14.003333333333332,30
stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
stable,dapper,pct_hybrid,86.48666666666666,1.3433702684520459,85.99666666666666,86.94333333333334,30
stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
stable,deadline_greedy,mean_latency_ms,25.02027748999063,0.19474756789946776,24.95304205486045,25.093051974407306,30
stable,deadline_greedy,p95_latency_ms,33.984265110354684,0.14612908292769589,33.933733268366254,34.03567770889089,30
stable,deadline_greedy,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76064921767133,34.80671039717899,30
