profile,policy,bandwidth_per_1000_frames_kb__ci_hi,bandwidth_per_frame_kb__ci_hi,deadline_miss_rate__ci_hi,fallback_rate__ci_hi,mean_latency_ms__ci_hi,mean_output_confidence__ci_hi,mode_switches_per_1000__ci_hi,p95_latency_ms__ci_hi,p99_latency_ms__ci_hi,pct_degraded_safe__ci_hi,pct_edge_accurate__ci_hi,pct_hybrid__ci_hi,pct_local_fast__ci_hi,remote_accept_rate__ci_hi,remote_accepted_per_frame__ci_hi,remote_attempt_rate__ci_hi,remote_failed_loss_rate__ci_hi,remote_rejected_deadline_rate__ci_hi,remote_rejected_freshness_rate__ci_hi,reuse_rate__ci_hi,stale_acceptance_rate__ci_hi,usable_confidence_proxy__ci_hi,bandwidth_per_1000_frames_kb__ci_lo,bandwidth_per_frame_kb__ci_lo,deadline_miss_rate__ci_lo,fallback_rate__ci_lo,mean_latency_ms__ci_lo,mean_output_confidence__ci_lo,mode_switches_per_1000__ci_lo,p95_latency_ms__ci_lo,p99_latency_ms__ci_lo,pct_degraded_safe__ci_lo,pct_edge_accurate__ci_lo,pct_hybrid__ci_lo,pct_local_fast__ci_lo,remote_accept_rate__ci_lo,remote_accepted_per_frame__ci_lo,remote_attempt_rate__ci_lo,remote_failed_loss_rate__ci_lo,remote_rejected_deadline_rate__ci_lo,remote_rejected_freshness_rate__ci_lo,reuse_rate__ci_lo,stale_acceptance_rate__ci_lo,usable_confidence_proxy__ci_lo,bandwidth_per_1000_frames_kb__mean,bandwidth_per_frame_kb__mean,deadline_miss_rate__mean,fallback_rate__mean,mean_latency_ms__mean,mean_output_confidence__mean,mode_switches_per_1000__mean,p95_latency_ms__mean,p99_latency_ms__mean,pct_degraded_safe__mean,pct_edge_accurate__mean,pct_hybrid__mean,pct_local_fast__mean,remote_accept_rate__mean,remote_accepted_per_frame__mean,remote_attempt_rate__mean,remote_failed_loss_rate__mean,remote_rejected_deadline_rate__mean,remote_rejected_freshness_rate__mean,reuse_rate__mean,stale_acceptance_rate__mean,usable_confidence_proxy__mean,bandwidth_per_1000_frames_kb__std,bandwidth_per_frame_kb__std,deadline_miss_rate__std,fallback_rate__std,mean_latency_ms__std,mean_output_confidence__std,mode_switches_per_1000__std,p95_latency_ms__std,p99_latency_ms__std,pct_degraded_safe__std,pct_edge_accurate__std,pct_hybrid__std,pct_local_fast__std,remote_accept_rate__std,remote_accepted_per_frame__std,remote_attempt_rate__std,remote_failed_loss_rate__std,remote_rejected_deadline_rate__std,remote_rejected_freshness_rate__std,reuse_rate__std,stale_acceptance_rate__std,usable_confidence_proxy__std
congested,cloud_only,35000.0,35.0,1.0,1.0,125.07737720340451,0.7255162553009149,0.0,133.97632892860784,134.78755064685268,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.051999999999999984,0.9531333333333332,0.0,0.0,0.0,0.0,35000.0,35.0,1.0,1.0,124.94831415515533,0.7243644131564243,0.0,133.9057921872592,134.74856908309064,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.046866666666666675,0.9480000000000002,0.0,0.0,0.0,0.0,35000.0,35.0,1.0,1.0,125.01259708814266,0.7249282051819181,0.0,133.9426897259238,134.76917894966263,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.049433333333333336,0.9505666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1811365776752744,0.0016092933478095927,0.0,0.09803104261482606,0.055242393825926016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142313608219744,0.00714231360821974,0.0,0.0,0.0,0.0
congested,confidence_deadline,0.0,0.0,0.0,0.0,25.07737720340451,0.7255162553009149,0.0,33.976328928607806,34.787550646852715,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255162553009149,0.0,0.0,0.0,0.0,24.94831415515531,0.7243644131564243,0.0,33.905792187259216,34.748569083090636,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243644131564243,0.0,0.0,0.0,0.0,25.012597088142645,0.7249282051819181,0.0,33.94268972592376,34.769178949662624,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249282051819181,0.0,0.0,0.0,0.0,0.18113657767527264,0.0016092933478095927,0.0,0.09803104261482531,0.05524239382592479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016092933478095927
congested,dapper,5.833333333333333,0.005833333333333333,0.0,0.008400000000000001,24.901603933536045,0.7255313473425076,13.533333333333333,33.97222933477223,34.786921923619296,0.8400000000000002,0.0,0.02333333333333333,99.34666666666666,0.0,0.0,0.00023333333333333333,0.0,0.23333333333333334,0.0,0.008400000000000001,0.0,0.7255313473425076,0.0,0.0,0.0,0.0064666666666666674,24.763119880413207,0.7244213882112449,10.733333333333333,33.89765936597646,34.74632434028217,0.6466666666666667,0.0,0.0,99.14666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0064666666666666674,0.0,0.7244213882112449,2.5,0.0025000000000000005,0.0,0.007433333333333334,24.831886454720813,0.724962592880273,12.133333333333333,33.93663339562628,34.76774120719711,0.7433333333333334,0.0,0.010000000000000002,99.24666666666667,0.0,0.0,0.0001,0.0,0.1,0.0,0.007433333333333334,0.0,0.724962592880273,7.628214415734117,0.007628214415734117,0.0,0.0027628487713469464,0.19570763546815947,0.001562881778886257,4.032055463949847,0.10384597263558462,0.0574407179719229,0.2762848771346947,0.0,0.030512857662936467,0.28494806947731727,0.0,0.0,0.00030512857662936464,0.0,0.30512857662936466,0.0,0.0027628487713469464,0.0,0.001562881778886257
congested,deadline_greedy,0.0,0.0,0.0,0.0,25.07737720340451,0.7255162553009149,0.0,33.976328928607806,34.787550646852715,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255162553009149,0.0,0.0,0.0,0.0,24.94831415515531,0.7243644131564243,0.0,33.905792187259216,34.748569083090636,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243644131564243,0.0,0.0,0.0,0.0,25.012597088142645,0.7249282051819181,0.0,33.94268972592376,34.769178949662624,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249282051819181,0.0,0.0,0.0,0.0,0.18113657767527264,0.0016092933478095927,0.0,0.09803104261482531,0.05524239382592479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016092933478095927
congested,edge_only,25000.0,25.0,1.0,1.0,125.07737720340451,0.7255162553009149,0.0,133.97632892860784,134.78755064685268,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.052199999999999996,0.9531666666666664,0.0,0.0,0.0,0.0,25000.0,25.0,1.0,1.0,124.94831415515533,0.7243644131564243,0.0,133.9057921872592,134.74856908309064,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.04683333333333333,0.9478000000000001,0.0,0.0,0.0,0.0,25000.0,25.0,1.0,1.0,125.01259708814266,0.7249282051819181,0.0,133.9426897259238,134.76917894966263,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.04953333333333333,0.9504666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1811365776752744,0.0016092933478095927,0.0,0.09803104261482606,0.055242393825926016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007682193173438364,0.007682193173438355,0.0,0.0,0.0,0.0
congested,local_only,0.0,0.0,0.0,0.0,25.07737720340451,0.7255162553009149,0.0,33.976328928607806,34.787550646852715,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255162553009149,0.0,0.0,0.0,0.0,24.94831415515531,0.7243644131564243,0.0,33.905792187259216,34.748569083090636,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243644131564243,0.0,0.0,0.0,0.0,25.012597088142645,0.7249282051819181,0.0,33.94268972592376,34.769178949662624,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249282051819181,0.0,0.0,0.0,0.0,0.18113657767527264,0.0016092933478095927,0.0,0.09803104261482531,0.05524239382592479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016092933478095927
congested,oracle_feasible,0.0,0.0,0.0,0.0,25.07737720340451,0.7255162553009149,0.0,33.976328928607806,34.787550646852715,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255162553009149,0.0,0.0,0.0,0.0,24.94831415515531,0.7243644131564243,0.0,33.905792187259216,34.748569083090636,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243644131564243,0.0,0.0,0.0,0.0,25.012597088142645,0.7249282051819181,0.0,33.94268972592376,34.769178949662624,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249282051819181,0.0,0.0,0.0,0.0,0.18113657767527264,0.0016092933478095927,0.0,0.09803104261482531,0.05524239382592479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016092933478095927
congested,rtt_threshold,0.0,0.0,0.0,0.0,25.07737720340451,0.7255162553009149,0.0,33.976328928607806,34.787550646852715,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255162553009149,0.0,0.0,0.0,0.0,24.94831415515531,0.7243644131564243,0.0,33.905792187259216,34.748569083090636,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243644131564243,0.0,0.0,0.0,0.0,25.012597088142645,0.7249282051819181,0.0,33.94268972592376,34.769178949662624,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249282051819181,0.0,0.0,0.0,0.0,0.18113657767527264,0.0016092933478095927,0.0,0.09803104261482531,0.05524239382592479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016092933478095927
lossy,cloud_only,35000.0,35.0,1.0,1.0,125.06090521618742,0.7252513425625742,0.0,134.05448763655662,134.82659999582697,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.2016333333333333,0.8069000000000001,0.0,0.0,0.0,0.0,35000.0,35.0,1.0,1.0,124.94841033219704,0.7243290816945883,0.0,133.9682541271267,134.7832671424866,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.1931,0.7983666666666667,0.0,0.0,0.0,0.0,35000.0,35.0,1.0,1.0,125.0032096350141,0.7247968267120143,0.0,134.01227815461485,134.8054680757077,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.19733333333333336,0.8026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15974262798343022,0.001322250002252836,0.0,0.12120943376607722,0.06143547890706077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012160800034178028,0.012160800034178009,0.0,0.0,0.0,0.0
lossy,confidence_deadline,0.0,0.0,0.0,0.0,25.060905216187447,0.7252513425625742,0.0,34.05448763655662,34.826599995826946,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252513425625742,0.0,0.0,0.0,0.0,24.94841033219709,0.7243290816945883,0.0,33.96825412712669,34.78326714248661,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7243290816945883,0.0,0.0,0.0,0.0,25.003209635014095,0.7247968267120143,0.0,34.012278154614826,34.80546807570768,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7247968267120143,0.0,0.0,0.0,0.0,0.15974262798343122,0.001322250002252836,0.0,0.12120943376607804,0.06143547890706443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001322250002252836
