metric,policy_a,policy_b,profile,n_seeds,mean_diff,ci_lo,ci_hi,std,excludes_zero,a_mean,b_mean
usable_confidence_proxy,dapper,oracle_feasible,lossy,30,-0.002882879926084455,-0.003058885840674918,-0.0027024182572667655,0.0005043638888325394,True,0.7405908249005024,0.7434737048265869
bandwidth_per_1000_frames_kb,dapper,oracle_feasible,lossy,30,15003.333333333334,14851.666666666666,15158.354166666666,440.9400876757978,True,18126.666666666668,3123.3333333333335
mean_latency_ms,dapper,oracle_feasible,lossy,30,-8.706222209406583,-9.010410044408726,-8.416070135406983,0.8477353427474347,True,25.003209635014095,33.70943184442068
deadline_miss_rate,dapper,local_only,variable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,local_only,variable,30,-0.2240719799256162,-0.26881002296579865,-0.18060073606690888,0.12474292792948971,True,33.74407704498113,33.968149024906744
usable_confidence_proxy,dapper,local_only,variable,30,0.006223865876464437,0.005587430916279176,0.006840259236049671,0.0017836659540701025,True,0.731537829380306,0.7253139635038416
bandwidth_per_1000_frames_kb,dapper,local_only,variable,30,5777.5,5557.5,5997.5,618.9308774285564,True,5777.5,0.0
mean_latency_ms,dapper,local_only,variable,30,-4.0491067717703455,-4.318142004735104,-3.7812068269710846,0.7472957040025575,True,20.905161109397675,24.954267881168015
deadline_miss_rate,dapper,edge_only,variable,30,-0.7400333333333333,-0.7542666666666666,-0.7261666666666666,0.03943609700675814,True,0.0,0.7400333333333333
p95_latency_ms,dapper,edge_only,variable,30,-99.84156226527753,-99.87776643796758,-99.80354475556567,0.10568852543547397,True,33.74407704498113,133.58563931025864
usable_confidence_proxy,dapper,edge_only,variable,30,0.5367606524304144,0.5268338951322645,0.5470022392975735,0.02826307797776819,True,0.731537829380306,0.19477717694989172
bandwidth_per_1000_frames_kb,dapper,edge_only,variable,30,-13772.5,-14099.166666666666,-13437.5,930.571524424085,True,5777.5,19550.0
mean_latency_ms,dapper,edge_only,variable,30,-80.88318528061457,-82.03872335994224,-79.73966529668282,3.226086215823104,True,20.905161109397675,101.78834639001225
deadline_miss_rate,dapper,cloud_only,variable,30,-0.7819999999999999,-0.7962000000000001,-0.7676333333333333,0.04009385540677411,True,0.0,0.7819999999999999
p95_latency_ms,dapper,cloud_only,variable,30,-99.92229342689627,-99.94474839564151,-99.89744815207645,0.06651559994676412,True,33.74407704498113,133.6663704718774
usable_confidence_proxy,dapper,cloud_only,variable,30,0.5734978882493753,0.5630033875985098,0.5837696620627632,0.02906070014987016,True,0.731537829380306,0.1580399411309307
bandwidth_per_1000_frames_kb,dapper,cloud_only,variable,30,-21592.5,-22045.5125,-21137.49166666667,1273.4793162692188,True,5777.5,27370.0
mean_latency_ms,dapper,cloud_only,variable,30,-82.24910677177034,-83.40608656649661,-81.07955870693944,3.2698626502039665,True,20.905161109397675,103.15426788116801
deadline_miss_rate,dapper,deadline_greedy,variable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,deadline_greedy,variable,30,-0.2240719799256162,-0.26881002296579865,-0.18060073606690888,0.12474292792948971,True,33.74407704498113,33.968149024906744
usable_confidence_proxy,dapper,deadline_greedy,variable,30,0.006223865876464437,0.005587430916279176,0.006840259236049671,0.0017836659540701025,True,0.731537829380306,0.7253139635038416
bandwidth_per_1000_frames_kb,dapper,deadline_greedy,variable,30,5777.5,5557.5,5997.5,618.9308774285564,True,5777.5,0.0
mean_latency_ms,dapper,deadline_greedy,variable,30,-4.0491067717703455,-4.318142004735104,-3.7812068269710846,0.7472957040025575,True,20.905161109397675,24.954267881168015
