policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
cloud_only,stable,101,100.0,1000,124.8206570804697,133.96040511204254,134.78807237653268,134.99828909781831,124.8206570804697,1.0,0.7249338588619687,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.997,0.0,0.0,0.997,0.0,0.003,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,stable,101,100.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,53.53675771177409,0.0,0.7249338588619687,0.7978649635318986,21700.0,21.7,21700.0,0.0,0.0,0.0,0.868,0.9896313364055299,0.5288018433179723,0.459,0.4608294930875576,0.0,0.010368663594470046,0.0,13.200000000000001,0.0,86.8,0.0,231,231.0
deadline_greedy,stable,101,100.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,stable,101,100.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,stable,101,100.0,1000,24.820657080469697,33.96040511204254,34.788072376532675,34.99828909781833,24.820657080469697,0.0,0.7249338588619687,0.7249338588619687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,stable,101,100.0,1000,57.532858530095766,97.25789167991198,99.55104637242388,99.93542911409344,57.532858530095766,0.0,0.8032529537777608,0.8032529537777608,13075.0,13.075,13075.0,0.0,0.0,0.0,0.523,1.0,1.0,0.523,0.0,0.0,0.0,0.0,47.699999999999996,52.300000000000004,0.0,0.0,506,506.0
local_only,stable,102,100.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,stable,102,100.0,1000,104.68670183537698,132.32707388173262,134.5321330596091,134.85872690967577,104.68670183537698,0.479,0.8069662402478758,0.45747807009296027,25000.0,25.0,25000.0,0.479,0.0,0.0,1.0,0.99,0.521,0.521,0.469,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0
cloud_only,stable,102,100.0,1000,124.83588047307674,133.70682378335115,134.7481829760716,134.96524097297277,124.83588047307674,1.0,0.727324394359075,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.992,0.0,0.0,0.992,0.0,0.008,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,stable,102,100.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,51.8627260021259,0.0,0.727324394359075,0.800034845226407,20900.0,20.9,20900.0,0.0,0.0,0.0,0.836,0.992822966507177,0.5263157894736842,0.44,0.4665071770334928,0.0,0.007177033492822967,0.0,16.400000000000002,0.0,83.6,0.0,284,284.0
deadline_greedy,stable,102,100.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,stable,102,100.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,stable,102,100.0,1000,24.835880473076735,33.70682378335116,34.74818297607158,34.965240972972765,24.835880473076735,0.0,0.727324394359075,0.727324394359075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,stable,102,100.0,1000,56.78670183537698,97.29990149168188,99.61919577919697,99.99287041643481,56.78670183537698,0.0,0.8069662402478758,0.8069662402478758,13025.0,13.025,13025.0,0.0,0.0,0.0,0.521,1.0,1.0,0.521,0.0,0.0,0.0,0.0,47.9,52.1,0.0,0.0,495,495.0
local_only,stable,103,100.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,stable,103,100.0,1000,104.47162987433781,132.82712163108778,134.58642332367074,134.99802137082617,104.47162987433781,0.465,0.8049199076525545,0.46840056911051803,25000.0,25.0,25000.0,0.465,0.0,0.0,1.0,0.99,0.535,0.535,0.455,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0
cloud_only,stable,103,100.0,1000,124.97207804451821,134.29318718635236,134.8930776531962,134.99802137082617,124.97207804451821,1.0,0.7236659440861409,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.993,0.0,0.0,0.993,0.0,0.007,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,stable,103,100.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,53.372703891643845,0.0,0.7236659440861409,0.7991290672988378,21525.0,21.525,21525.0,0.0,0.0,0.0,0.861,0.9883855981416957,0.5342624854819977,0.46,0.454123112659698,0.0,0.011614401858304297,0.0,13.900000000000002,0.0,86.1,0.0,237,237.0
deadline_greedy,stable,103,100.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,stable,103,100.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,stable,103,100.0,1000,24.972078044518216,34.293187186352334,34.89307765319619,34.99802137082616,24.972078044518216,0.0,0.7236659440861409,0.7236659440861409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,stable,103,100.0,1000,57.97162987433782,97.06669181125064,99.64152832967919,99.94440270696336,57.97162987433782,0.0,0.8049199076525545,0.8049199076525545,13375.0,13.375,13375.0,0.0,0.0,0.0,0.535,1.0,1.0,0.535,0.0,0.0,0.0,0.0,46.5,53.5,0.0,0.0,480,480.0
local_only,stable,104,100.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,stable,104,100.0,1000,106.16948485185432,132.7801771601493,134.46232822327607,134.96157453832586,106.16948485185432,0.507,0.7955304872992183,0.4285441259472964,25000.0,25.0,25000.0,0.507,0.0,0.0,1.0,0.99,0.493,0.493,0.497,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0
cloud_only,stable,104,100.0,1000,124.98622097286207,133.86011537767013,134.74837408619962,134.98656616097202,124.98622097286207,1.0,0.7240926018777877,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.991,0.0,0.0,0.991,0.0,0.009,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,stable,104,100.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,51.037343944723006,0.0,0.7240926018777877,0.7898578469524961,21900.0,21.9,21900.0,0.0,0.0,0.0,0.876,0.9920091324200914,0.4794520547945205,0.42,0.5125570776255708,0.0,0.007990867579908675,0.0,12.4,0.0,87.6,0.0,220,220.0
deadline_greedy,stable,104,100.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,stable,104,100.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,stable,104,100.0,1000,24.98622097286207,33.860115377670134,34.74837408619961,34.98656616097203,24.98622097286207,0.0,0.7240926018777877,0.7240926018777877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,stable,104,100.0,1000,55.46948485185432,97.10246884026466,99.55270045583732,99.95590014068037,55.46948485185432,0.0,0.7955304872992183,0.7955304872992183,12325.0,12.325,12325.0,0.0,0.0,0.0,0.493,1.0,1.0,0.493,0.0,0.0,0.0,0.0,50.7,49.3,0.0,0.0,495,495.0
local_only,stable,105,100.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,stable,105,100.0,1000,105.38973286328965,132.856653682397,134.31918363574712,134.93218081177963,105.38973286328965,0.487,0.8023095380631553,0.4487845969569811,25000.0,25.0,25000.0,0.487,0.0,0.0,1.0,0.99,0.513,0.513,0.477,0.0,0.01,0.0,0.0,100.0,0.0,0.0,0,0.0
cloud_only,stable,105,100.0,1000,124.85634769037544,133.82025179084474,134.62504012903673,134.933145804052,124.85634769037544,1.0,0.7262361051095783,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.991,0.0,0.0,0.991,0.0,0.009,0.0,0.0,100.0,0.0,0.0,0,0.0
dapper,stable,105,100.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,51.59710330911793,0.0,0.7262361051095783,0.7959250227091806,21250.0,21.25,21250.0,0.0,0.0,0.0,0.85,0.9905882352941177,0.5105882352941177,0.434,0.48,0.0,0.009411764705882352,0.0,15.0,0.0,85.0,0.0,256,256.0
deadline_greedy,stable,105,100.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,stable,105,100.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,stable,105,100.0,1000,24.85634769037545,33.82025179084476,34.62504012903672,34.93314580405199,24.85634769037545,0.0,0.7262361051095783,0.7262361051095783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
oracle_feasible,stable,105,100.0,1000,56.68973286328967,97.59552149900497,99.52339955638455,99.99946656959455,56.68973286328967,0.0,0.8023095380631553,0.8023095380631553,12825.0,12.825,12825.0,0.0,0.0,0.0,0.513,1.0,1.0,0.513,0.0,0.0,0.0,0.0,48.699999999999996,51.300000000000004,0.0,0.0,490,490.0
local_only,stable,106,100.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
