frame_id,timestamp,run_mode,profile,selected_mode,rtt_ms,packet_loss,edge_load,edge_available,deadline_ms,latency_ms,deadline_met,confidence,stale_output,fallback_used,bandwidth_kb,risk_score,decision_reason,source,detections
0,0.0,cloud_only,variable,edge_accurate,39.0801668844748,0.083132895926613,0.5094056471639121,True,100.0,246.4641322926682,False,0.8748730296749861,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,3
1,33.333333333333336,cloud_only,variable,edge_accurate,28.683231997078018,0.07223720705542751,0.5043620918076939,True,100.0,185.00493184529296,False,0.9286869843832893,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,3
2,66.66666666666667,cloud_only,variable,edge_accurate,26.12130115843202,0.0853894645600995,0.5112675928004446,True,100.0,259.917581412637,False,0.9076507662861301,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
3,100.0,cloud_only,variable,edge_accurate,45.12094348406676,0.07818141348941081,0.5004211496115234,True,100.0,281.82808920473605,False,0.8995693549937639,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
4,133.33333333333334,cloud_only,variable,edge_accurate,36.51639313014224,0.08537288027287727,0.49983766057935625,True,100.0,260.6235803282965,False,0.825559099311144,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,2
5,166.66666666666669,cloud_only,variable,edge_accurate,33.411714974858185,0.09139447342679553,0.498324833642797,True,100.0,191.2199239264528,False,0.8341251443811178,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,2
6,200.00000000000003,cloud_only,variable,edge_accurate,34.690798202274316,0.07931541074718361,0.5023143075578784,True,100.0,265.99603575174353,False,0.91525449606364,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,5
7,233.33333333333337,cloud_only,variable,edge_accurate,43.80717927317479,0.10747883301523309,0.49778729588245657,True,100.0,203.55798267438453,False,0.8997391854787303,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
8,266.6666666666667,cloud_only,variable,edge_accurate,37.12041184461964,0.08077963989507118,0.5095195596331742,True,100.0,259.663959683387,False,0.8930241569025477,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,5
9,300.0,cloud_only,variable,edge_accurate,32.162645283127205,0.05557157872540332,0.5141215755847863,True,100.0,242.13629679893137,False,0.879412082611808,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,3
10,333.3333333333333,cloud_only,variable,edge_accurate,43.216971515393595,0.05835358012244786,0.5136188736984963,True,100.0,231.86168254483457,False,0.9593465125627896,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
11,366.66666666666663,cloud_only,variable,edge_accurate,47.54811032643015,0.08525000361409334,0.5131310544465439,True,100.0,249.26092468732463,False,0.9492237759755111,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
12,399.99999999999994,cloud_only,variable,edge_accurate,48.993257458134465,0.07505958947707472,0.5168177258156206,True,100.0,282.3948162782349,False,0.8605307270101463,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,1
13,433.33333333333326,cloud_only,variable,edge_accurate,45.93873244894246,0.061768478549876084,0.5070654021700631,True,100.0,212.01873592936155,False,0.9491398644548148,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
14,466.6666666666666,cloud_only,variable,edge_accurate,62.85399648222088,0.05484795547536825,0.5153351052819654,True,100.0,291.5855748882045,False,0.9048717187205044,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,1
15,499.9999999999999,cloud_only,variable,edge_accurate,55.481504722703974,0.07284817863933761,0.5181303075391651,True,100.0,218.75650447737183,False,0.9043176668844825,False,False,35.0,0.0,fixed_baseline:edge_accurate,cloud,0
