frame_id,timestamp,run_mode,profile,selected_mode,rtt_ms,packet_loss,edge_load,edge_available,deadline_ms,latency_ms,deadline_met,confidence,stale_output,fallback_used,bandwidth_kb,risk_score,decision_reason,source,detections
0,0.0,local_only,variable,local_fast,39.0801668844748,0.083132895926613,0.5094056471639121,True,100.0,26.864345203394645,True,0.7044281288414205,False,False,0.0,0.0,fixed_baseline:local_fast,local,1
1,33.333333333333336,local_only,variable,local_fast,28.683231997078018,0.07223720705542751,0.5043620918076939,True,100.0,28.11629352114215,True,0.743554892851492,False,False,0.0,0.0,fixed_baseline:local_fast,local,0
2,66.66666666666667,local_only,variable,local_fast,26.12130115843202,0.0853894645600995,0.5112675928004446,True,100.0,34.91508971110783,True,0.7664503404106673,False,False,0.0,0.0,fixed_baseline:local_fast,local,1
3,100.0,local_only,variable,local_fast,45.12094348406676,0.07818141348941081,0.5004211496115234,True,100.0,32.85285138642986,True,0.6667496155072746,False,False,0.0,0.0,fixed_baseline:local_fast,local,1
4,133.33333333333334,local_only,variable,local_fast,36.51639313014224,0.08537288027287727,0.49983766057935625,True,100.0,29.373185777858176,True,0.7058373617719977,False,False,0.0,0.0,fixed_baseline:local_fast,local,1
5,166.66666666666669,local_only,variable,local_fast,33.411714974858185,0.09139447342679553,0.498324833642797,True,100.0,15.37512078335757,True,0.7352528803504614,False,False,0.0,0.0,fixed_baseline:local_fast,local,0
6,200.00000000000003,local_only,variable,local_fast,34.690798202274316,0.07931541074718361,0.5023143075578784,True,100.0,15.79415704444916,True,0.7684855066001532,False,False,0.0,0.0,fixed_baseline:local_fast,local,2
7,233.33333333333337,local_only,variable,local_fast,43.80717927317479,0.10747883301523309,0.49778729588245657,True,100.0,15.653801277175408,True,0.7090144646324136,False,False,0.0,0.0,fixed_baseline:local_fast,local,0
8,266.6666666666667,local_only,variable,local_fast,37.12041184461964,0.08077963989507118,0.5095195596331742,True,100.0,26.585049630936233,True,0.7759209907733237,False,False,0.0,0.0,fixed_baseline:local_fast,local,1
9,300.0,local_only,variable,local_fast,32.162645283127205,0.05557157872540332,0.5141215755847863,True,100.0,31.88350109123381,True,0.7520583886396143,False,False,0.0,0.0,fixed_baseline:local_fast,local,1
