frame_id,timestamp,run_mode,profile,selected_mode,rtt_ms,packet_loss,edge_load,edge_available,deadline_ms,latency_ms,deadline_met,confidence,stale_output,fallback_used,bandwidth_kb,risk_score,decision_reason,source,detections
28,933.3333333333337,edge_only,variable,edge_accurate,24.00335005114508,0.07126226638499272,0.4889217810268472,True,100.0,88.1340752749285,True,0.9419527111482298,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
29,966.6666666666671,edge_only,variable,edge_accurate,32.03179256379771,0.09803113059811602,0.48874386854674756,True,100.0,123.0219030883004,False,0.9187717448427591,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
30,1000.0000000000005,edge_only,variable,edge_accurate,39.30464896169971,0.0738499419695059,0.5045869705898025,True,100.0,125.63291149540404,False,0.9211316644681494,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
31,1033.3333333333337,edge_only,variable,edge_accurate,46.26040039425965,0.09560780059634234,0.4917819459286135,True,100.0,154.6381234999056,False,0.8318810073469685,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
32,1066.666666666667,edge_only,variable,edge_accurate,37.65323289122374,0.06317832844477407,0.47965869526732774,True,100.0,29.940077172530245,True,0.7139498698602169,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,0
33,1100.0000000000002,edge_only,variable,edge_accurate,39.02392470431949,0.044260889846203494,0.4735711654017868,True,100.0,107.35859579051828,False,0.8947834466928335,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
34,1133.3333333333335,edge_only,variable,edge_accurate,51.11707625591465,0.10494279060460628,0.5079955569815028,True,100.0,137.117272219084,False,0.9368122352716975,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
35,1166.6666666666667,edge_only,variable,edge_accurate,40.391803118805676,0.03268919008720209,0.5090735602086407,True,100.0,104.3362493346611,False,0.9444238237559784,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
36,1200.0,edge_only,variable,edge_accurate,38.91301095127727,0.059288306016453365,0.5058509393027487,True,100.0,131.77903556398206,False,0.8164662980101955,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
37,1233.3333333333333,edge_only,variable,edge_accurate,43.888117624070205,0.06722389035182297,0.4943242139139409,True,100.0,145.7053672196149,False,0.8081724835819357,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
38,1266.6666666666665,edge_only,variable,edge_accurate,40.61544929157917,0.0690588053606794,0.5131386702669516,True,100.0,128.88945246157442,False,0.8057503329595853,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
39,1299.9999999999998,edge_only,variable,edge_accurate,53.749579369847524,0.06126232702556485,0.498661498549391,True,100.0,129.06662247405433,False,0.869082024456512,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
40,1333.333333333333,edge_only,variable,edge_accurate,45.00983188126785,0.10724822031761538,0.49071533204726897,True,100.0,144.41275497183852,False,0.9398170508186384,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
41,1366.6666666666663,edge_only,variable,edge_accurate,37.02614694697371,0.08630252772529928,0.4964217752988739,True,100.0,121.88047015114522,False,0.9125512988822928,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,4
42,1399.9999999999995,edge_only,variable,edge_accurate,40.49029633845954,0.05854121532998567,0.50159814225392,True,100.0,151.07960082698764,False,0.86317665097399,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
43,1433.3333333333328,edge_only,variable,edge_accurate,30.47434691736557,0.04763609244940667,0.5030043929803572,True,100.0,138.147150849231,False,0.8163420013053747,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
44,1466.666666666666,edge_only,variable,edge_accurate,38.011954784677,0.06792382929307707,0.5052617757803112,True,100.0,115.59197346293368,False,0.8376924764740686,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
45,1499.9999999999993,edge_only,variable,edge_accurate,43.91188461359439,0.06280877346040961,0.5152723077248479,True,100.0,125.99935430608548,False,0.8602029054595519,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
46,1533.3333333333326,edge_only,variable,edge_accurate,61.86375714547398,0.07320660265138336,0.4999731558626733,True,100.0,163.1425012262403,False,0.8898307661244367,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
47,1566.6666666666658,edge_only,variable,edge_accurate,75.6393732902599,0.1001641501137077,0.4981833325573127,True,100.0,173.88089867842922,False,0.9022983986668015,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
48,1599.999999999999,edge_only,variable,edge_accurate,83.29272637172505,0.050626700564238965,0.48959939585629186,True,100.0,173.9476177629661,False,0.8142932116533483,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
49,1633.3333333333323,edge_only,variable,edge_accurate,69.16155467018184,0.06991036733239876,0.4900450876997884,True,100.0,143.71698163730082,False,0.9222340854699544,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,4
50,1666.6666666666656,edge_only,variable,edge_accurate,64.36422979159562,0.08126892888234502,0.4715343491495205,False,100.0,24.268935062752515,True,0.7739807220222645,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,5
51,1699.9999999999989,edge_only,variable,edge_accurate,59.54341763385069,0.055243470269874764,0.46503934871538016,False,100.0,24.593041530661285,True,0.6816271662133306,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,5
52,1733.3333333333321,edge_only,variable,edge_accurate,47.4597924909436,0.0641528397877358,0.4811905043958643,False,100.0,19.581217229223036,True,0.682803135375248,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,1
53,1766.6666666666654,edge_only,variable,edge_accurate,34.294731207395095,0.07053605112040232,0.4801107091833557,False,100.0,17.700454409329737,True,0.6567707860098918,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,0
54,1799.9999999999986,edge_only,variable,edge_accurate,35.56574435437598,0.08754826194283058,0.4894697217167238,False,100.0,29.147369610203995,True,0.6679177241369004,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,0
55,1833.333333333332,edge_only,variable,edge_accurate,53.93870117621199,0.06729615061312674,0.484616351256672,False,100.0,22.9216193584714,True,0.6889392536411111,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,4
56,1866.6666666666652,edge_only,variable,edge_accurate,50.40657324610315,0.07424369384724638,0.4894588145898747,False,100.0,24.87411751917101,True,0.7409339950100882,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,4
57,1899.9999999999984,edge_only,variable,edge_accurate,38.89852651382186,0.0715835711784878,0.49384933497328887,False,100.0,27.130324914785525,True,0.7924120012569665,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,2
58,1933.3333333333317,edge_only,variable,edge_accurate,68.66244595378146,0.10284478069742924,0.4865470344730429,True,100.0,151.75565480184832,False,0.8427644569892161,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
59,1966.666666666665,edge_only,variable,edge_accurate,47.697571148358485,0.05966262725563899,0.4923936776143378,True,100.0,110.75194280299057,False,0.8566763839573399,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
60,1999.9999999999982,edge_only,variable,edge_accurate,40.732919507543045,0.05855243729881357,0.4724420517940837,True,100.0,103.80900850811577,False,0.926110943409556,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
61,2033.3333333333314,edge_only,variable,edge_accurate,32.357692330754716,0.06073481002109372,0.4691850336535911,True,100.0,132.05580461356593,False,0.8972605123128287,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
62,2066.6666666666647,edge_only,variable,edge_accurate,19.19423652228367,0.04432670820565767,0.4966404980431559,True,100.0,22.995548559339596,True,0.7440611872599732,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,1
63,2099.999999999998,edge_only,variable,edge_accurate,16.919716991824853,0.102145986745623,0.5263630701269288,True,100.0,109.14533481791766,False,0.9086005013793556,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
64,2133.3333333333317,edge_only,variable,edge_accurate,22.977187848003076,0.07597722214145892,0.538377432545599,True,100.0,18.83573693389938,True,0.7826056588147338,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,1
65,2166.666666666665,edge_only,variable,edge_accurate,28.50861411121,0.08360340758108054,0.5350496067811454,True,100.0,122.65610630155481,False,0.9166106159489443,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,4
66,2199.9999999999986,edge_only,variable,edge_accurate,33.55088875042856,0.045939323353525324,0.5256579479851697,True,100.0,140.3176507419374,False,0.8686883697829018,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
67,2233.333333333332,edge_only,variable,edge_accurate,40.92340596637568,0.06028177367066723,0.5252417436135872,True,100.0,128.92409348104871,False,0.897542332290433,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
68,2266.6666666666656,edge_only,variable,edge_accurate,45.27839211698187,0.07615573714698606,0.5207249483666485,True,100.0,113.59935832406794,False,0.823635595905468,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,6
69,2299.999999999999,edge_only,variable,edge_accurate,39.11851512968741,0.0755386495792829,0.5156070927091839,True,100.0,147.3536768161701,False,0.9126205476966835,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
70,2333.3333333333326,edge_only,variable,edge_accurate,58.903187066771224,0.07675231466973877,0.5048551020703995,True,100.0,166.91707077699152,False,0.8728586665931025,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,4
71,2366.666666666666,edge_only,variable,edge_accurate,58.974386974275504,0.050532799240290194,0.5157955111872082,True,100.0,169.8935628760899,False,0.8826865018725969,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,4
72,2399.9999999999995,edge_only,variable,edge_accurate,61.323576617604765,0.03946974522795163,0.5219107937653484,True,100.0,148.92234182369188,False,0.8376979365766846,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
73,2433.333333333333,edge_only,variable,edge_accurate,46.26698144597131,0.0617483158696259,0.5201658070558439,True,100.0,115.96075622980757,False,0.9145884615811183,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,8
74,2466.6666666666665,edge_only,variable,edge_accurate,44.31908956124259,0.0681889553088457,0.5136128718626063,True,100.0,115.64939252199038,False,0.9448222367698246,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
75,2500.0,edge_only,variable,edge_accurate,61.47402840929796,0.025083477283702298,0.5085217948449882,True,100.0,135.31381119802376,False,0.8440363459198028,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
76,2533.3333333333335,edge_only,variable,edge_accurate,61.13975677822311,0.06349149482687744,0.4892502180512047,True,100.0,141.34432743034222,False,0.9231018846419102,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
77,2566.666666666667,edge_only,variable,edge_accurate,75.93500699348012,0.043157425413967596,0.5000384545779457,True,100.0,141.30073295223366,False,0.9488591172374419,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
78,2600.0000000000005,edge_only,variable,edge_accurate,67.51059926423318,0.0515742760626809,0.4966862019387978,True,100.0,145.40276630032403,False,0.9288475084900378,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
79,2633.333333333334,edge_only,variable,edge_accurate,68.37529952583415,0.10031545309467403,0.5091230804408152,True,100.0,125.91247833873996,False,0.8048147690812887,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
80,2666.6666666666674,edge_only,variable,edge_accurate,81.17402219284571,0.07768238027792024,0.5155783461206228,True,100.0,169.17711518407938,False,0.8130834036389516,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
81,2700.000000000001,edge_only,variable,edge_accurate,72.52054660151364,0.05779508309224516,0.5223585162424469,True,100.0,181.82219046421736,False,0.8992357270422521,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
82,2733.3333333333344,edge_only,variable,edge_accurate,73.97906121644499,0.06666360649365971,0.5295992839286308,True,100.0,140.3920744930137,False,0.8838924857745065,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
83,2766.666666666668,edge_only,variable,edge_accurate,85.9021275068029,0.08278855709492629,0.5079590245863722,True,100.0,177.92273353388651,False,0.8960904518634087,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
84,2800.0000000000014,edge_only,variable,edge_accurate,62.82541373251645,0.0609301027585902,0.5214795040018649,True,100.0,145.23894273302392,False,0.8112927414360123,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
85,2833.333333333335,edge_only,variable,edge_accurate,51.639020112684676,0.05225994608729302,0.5175114241302545,True,100.0,26.538136634443692,True,0.7395311362271528,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,0
86,2866.6666666666683,edge_only,variable,edge_accurate,44.100341166215166,0.07546016575214677,0.5255622596652706,True,100.0,107.4076503997826,False,0.9112413515231954,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
87,2900.000000000002,edge_only,variable,edge_accurate,21.811698976070566,0.07532641775802955,0.5211701434645423,True,100.0,21.43534608103257,True,0.6966950549548356,False,True,0.0,0.0,fixed_baseline:edge_accurate,edge_failed_to_local,2
88,2933.3333333333353,edge_only,variable,edge_accurate,47.23839094058707,0.033893330155917,0.5110250805197227,True,100.0,143.0869100723254,False,0.8247978555488716,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,8
89,2966.666666666669,edge_only,variable,edge_accurate,31.460132464144554,0.09582910834093641,0.5125036305427848,True,100.0,127.51225524090245,False,0.8100300687187953,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
90,3000.0000000000023,edge_only,variable,edge_accurate,31.02718427892234,0.08424086457440869,0.5206876199941183,True,100.0,95.75411359379385,True,0.9388824307867442,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,5
91,3033.3333333333358,edge_only,variable,edge_accurate,39.18023836858194,0.07473100668743021,0.5079166433479008,True,100.0,101.50025151076315,False,0.8461374165598923,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
92,3066.6666666666692,edge_only,variable,edge_accurate,40.82468026725759,0.07670939262618617,0.5163315571474236,True,100.0,143.71886928082475,False,0.9283617526903102,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
93,3100.0000000000027,edge_only,variable,edge_accurate,42.264681368724744,0.09592547208403204,0.5056293634298132,True,100.0,132.76006208728293,False,0.8381517941665163,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
94,3133.333333333336,edge_only,variable,edge_accurate,46.70949197233485,0.08477674083349311,0.5046177512994572,True,100.0,122.03102320049746,False,0.8878075614706916,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
95,3166.6666666666697,edge_only,variable,edge_accurate,56.692981197582924,0.08473185117057609,0.5092353660528067,True,100.0,146.67155536122345,False,0.8778161196062195,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,3
96,3200.000000000003,edge_only,variable,edge_accurate,52.530889105214584,0.03493835988883601,0.5234308364574168,True,100.0,163.52669509558535,False,0.9489492908776135,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
97,3233.3333333333367,edge_only,variable,edge_accurate,52.90436703925205,0.09291713698505923,0.5027220737553443,True,100.0,164.17507548850742,False,0.8084073393675232,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,4
98,3266.66666666667,edge_only,variable,edge_accurate,35.21963858772847,0.05610261492455509,0.5065740250644454,True,100.0,101.54777056419458,False,0.9090542514475681,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
99,3300.0000000000036,edge_only,variable,edge_accurate,42.554625894359745,0.045276597031883595,0.4821581856852299,True,100.0,101.9427031560082,False,0.8274682136838434,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,2
100,3333.333333333337,edge_only,variable,edge_accurate,39.83458977284929,0.07803925100504071,0.49274608481039667,True,100.0,97.35542545607106,True,0.9209626302874373,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,0
101,3366.6666666666706,edge_only,variable,edge_accurate,35.929275770567834,0.07241922506102694,0.5017981987020759,True,100.0,143.37836847362016,False,0.9339062448599151,False,False,25.0,0.0,fixed_baseline:edge_accurate,edge,1
