deadline_sweep_ms,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
50.0,stable,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,10
50.0,stable,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,10
50.0,stable,dapper,pct_local_fast,100.0,0.0,100.0,100.0,10
50.0,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,10
50.0,stable,dapper,pct_hybrid,0.0,0.0,0.0,0.0,10
50.0,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,delivered_recall,0.6241299751101134,0.0,0.6241299751101134,0.6241299751101134,10
50.0,stable,deadline_greedy,delivered_safety_recall,0.7174829557521651,1.1702778228589004e-16,0.7174829557521651,0.7174829557521651,10
50.0,stable,deadline_greedy,delivered_recall_fresh_only,0.6385726522200994,0.0,0.6385726522200994,0.6385726522200994,10
50.0,stable,deadline_greedy,delivered_safety_recall_fresh_only,0.7348134619297538,0.0,0.7348134619297538,0.7348134619297538,10
50.0,stable,deadline_greedy,deadline_miss_rate,0.0224,0.0,0.0224,0.0224,10
50.0,stable,deadline_greedy,p95_latency_ms,45.673494995571694,7.489778066296963e-15,45.673494995571694,45.673494995571694,10
50.0,stable,deadline_greedy,mean_latency_ms,35.19284060007193,7.489778066296963e-15,35.19284060007193,35.19284060007193,10
50.0,stable,deadline_greedy,usable_confidence_proxy,0.8010538005888461,1.1702778228589004e-16,0.8010538005888461,0.8010538005888461,10
50.0,stable,deadline_greedy,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,remote_output_share,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,usable_output_rate,0.9776000000000001,1.1702778228589004e-16,0.9776000000000001,0.9776000000000001,10
50.0,stable,deadline_greedy,reuse_rate,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,remote_attempt_rate,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,remote_accept_rate,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,pct_local_fast,100.0,0.0,100.0,100.0,10
50.0,stable,deadline_greedy,pct_edge_accurate,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,pct_hybrid,0.0,0.0,0.0,0.0,10
50.0,stable,deadline_greedy,pct_degraded_safe,0.0,0.0,0.0,0.0,10
50.0,stable,confidence_deadline,delivered_recall,0.6241299751101134,0.0,0.6241299751101134,0.6241299751101134,10
50.0,stable,confidence_deadline,delivered_safety_recall,0.7174829557521651,1.1702778228589004e-16,0.7174829557521651,0.7174829557521651,10
50.0,stable,confidence_deadline,delivered_recall_fresh_only,0.6385726522200994,0.0,0.6385726522200994,0.6385726522200994,10
50.0,stable,confidence_deadline,delivered_safety_recall_fresh_only,0.7348134619297538,0.0,0.7348134619297538,0.7348134619297538,10
50.0,stable,confidence_deadline,deadline_miss_rate,0.0224,0.0,0.0224,0.0224,10
