role,model,n_images,n_gt_objects,recall,precision,f1,n_gt_safety_objects,safety_recall,safety_precision,mean_detections_per_image,mean_max_confidence
local,yolo11n.pt,5000,36335,0.5071418742259529,0.7043421756746426,0.5896923052306511,14073,0.6231080793007887,0.7679978980557015,5.2324,0.8192857515573502
local_cpu,yolo11n.pt,250,1735,0.5325648414985591,0.6890380313199105,0.6007802340702211,714,0.6512605042016807,0.768595041322314,5.364,0.8126189205646515
remote,yolo11m.pt,5000,36335,0.6377322141186184,0.7295510358289781,0.6805586149169567,14073,0.7341718183756129,0.7951362167154071,6.3524,0.8811215590596199
remote_cpu,yolo11m.pt,250,1735,0.6432276657060518,0.7135549872122762,0.6765686571688391,714,0.7338935574229691,0.7786032689450223,6.256,0.8835003795623779
