model,device,imgsz,mAP50,mAP50_95,precision,recall,fitness,mAP50_person,recall_person,precision_person,mAP50_bicycle,recall_bicycle,precision_bicycle,mAP50_car,recall_car,precision_car,mAP50_motorcycle,recall_motorcycle,precision_motorcycle,mAP50_bus,recall_bus,precision_bus,mAP50_truck,recall_truck,precision_truck
yolo11m.pt,cuda:0,640,0.677780359193654,0.5098573749892265,0.7419522946242675,0.6145905542181943,0.5098573749892265,0.8375279173693642,0.7456991937494932,0.8374390427910892,0.6516619960737787,0.5439493567138817,0.7842050608037768,0.7356930102665101,0.6543274244004171,0.7789154703959192,0.7931896837206056,0.7138964577656676,0.783968800768113,0.8862273250230533,0.813644902192053,0.8519948106165647,0.616188631833616,0.5265700483091788,0.649861134543601
yolo11n.pt,cuda:0,640,0.5461597575166717,0.38893291245053985,0.6527692110212728,0.5042012974053847,0.38893291245053985,0.7500613301308912,0.6754198756611302,0.7599611311686828,0.4755724357651344,0.40445859872611467,0.691253799067034,0.5816424200588547,0.5320250574423017,0.6611429955570607,0.6753182566826065,0.6021798365122616,0.7707251651070514,0.770959181080042,0.7067137809187279,0.7728923497222229,0.4757869566170112,0.41545893719806765,0.5852016522016367
