policy,delivered_recall,delivered_safety_recall,deadline_miss_rate,p95_latency_ms,bandwidth_per_1000_frames_kb,remote_output_share,reuse_rate
cloud_only,0.13555170728752095,0.16120611819178698,0.78952,142.29467360308627,27633.2,0.0,0.0
confidence_deadline,0.6419094815733344,0.7645626224447881,0.0,45.22195500030648,0.0,0.0,0.0
dapper,0.5420106090342734,0.6341304295492194,0.0,43.2855665035313,2542.0,0.09336,0.17015999999999998
deadline_greedy,0.6419094815733344,0.7645626224447881,0.0,45.22195500030648,0.0,0.0,0.0
edge_only,0.5999796178824615,0.6836788331979414,0.15592,121.1650288381062,19738.0,0.6335999999999999,0.0
local_only,0.6419094815733344,0.7645626224447881,0.0,45.22195500030648,0.0,0.0,0.0
oracle_feasible,0.6990213878613061,0.7995610288508378,0.0,72.1983360590277,14140.0,0.5656,0.0
