role,model,device,n_images,inference_mean_ms,inference_median_ms,inference_p95_ms,pipeline_mean_ms,wall_mean_ms,wall_median_ms,wall_p95_ms
local_cpu,yolo11n.pt,cpu,250,32.90618080133572,31.200750003335997,45.22195500030648,34.60023040161468,37.1299936,35.285,50.5343
remote_cpu,yolo11m.pt,cpu,250,179.0813551992178,161.6243000025861,243.7427099706838,180.8362344019115,183.461712,166.23795,248.46726499999994
local,yolo11n.pt,cuda:0,5000,13.34292257920606,12.461999984225258,20.567705028224736,17.985847659467254,29.493624439999998,29.08725,38.240855
remote,yolo11m.pt,cuda:0,5000,14.155129060184118,13.374550006119534,22.14112496585585,17.28480024053715,20.242243920000003,19.623800000000003,29.702765000000014
