profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds,family
stable,dapper_full,deadline_miss_rate,0.0,0.0,0.0,0.0,30,component
stable,dapper_full,p95_latency_ms,33.984265110354684,0.14612908292769589,33.933733268366254,34.03567770889089,30,component
stable,dapper_full,mean_latency_ms,25.02027748999063,0.19474756789946776,24.95304205486045,25.093051974407306,30,component
stable,dapper_full,usable_confidence_proxy,0.7959976928158301,0.0030581965746421004,0.7949080850073025,0.7970417324338718,30,component
stable,dapper_full,bandwidth_per_1000_frames_kb,21621.666666666668,335.8425671130112,21499.166666666668,21735.833333333332,30,component
stable,dapper_full,stale_acceptance_rate,0.0,0.0,0.0,0.0,30,component
stable,dapper_full,fallback_rate,0.0,0.0,0.0,0.0,30,component
stable,dapper_full,reuse_rate,0.0,0.0,0.0,0.0,30,component
stable,dapper_full,remote_attempt_rate,0.8648666666666667,0.013433702684520463,0.8599666666666667,0.8694333333333334,30,component
stable,dapper_full,remote_accept_rate,0.5119299636219802,0.019710509684781493,0.5048710537106218,0.5185906071980788,30,component
stable,dapper_full,pct_local_fast,13.513333333333334,1.3433702684520452,13.056666666666667,14.003333333333332,30,component
stable,dapper_full,pct_edge_accurate,0.0,0.0,0.0,0.0,30,component
stable,dapper_full,pct_hybrid,86.48666666666666,1.3433702684520459,85.99666666666666,86.94333333333334,30,component
stable,dapper_full,pct_degraded_safe,0.0,0.0,0.0,0.0,30,component
variable,dapper_no_rtt,deadline_miss_rate,0.0,0.0,0.0,0.0,30,component
variable,dapper_no_rtt,p95_latency_ms,33.747775519517624,0.20973021505140457,33.674877056738595,33.82242868863212,30,component
variable,dapper_no_rtt,mean_latency_ms,20.940446707168096,0.7350940723083381,20.683093557454136,21.20460908128355,30,component
variable,dapper_no_rtt,usable_confidence_proxy,0.7315327792840012,0.0025047865419971973,0.730631117054827,0.7323865275407152,30,component
variable,dapper_no_rtt,bandwidth_per_1000_frames_kb,5777.5,618.9308774285564,5557.5,5997.5,30,component
variable,dapper_no_rtt,stale_acceptance_rate,0.0,0.0,0.0,0.0,30,component
variable,dapper_no_rtt,fallback_rate,0.218,0.040093855406774126,0.2038,0.2323666666666667,30,component
variable,dapper_no_rtt,reuse_rate,0.1668666666666667,0.030431079092149253,0.1560333333333333,0.17773416666666667,30,component
variable,dapper_no_rtt,remote_attempt_rate,0.2311,0.02475723509714226,0.22230000000000005,0.23989999999999997,30,component
variable,dapper_no_rtt,remote_accept_rate,0.1593225904647559,0.030227815733317422,0.1485875090503525,0.16975583920517912,30,component
variable,dapper_no_rtt,pct_local_fast,60.20333333333333,2.981377063607068,59.14666666666667,61.25333333333334,30,component
variable,dapper_no_rtt,pct_edge_accurate,0.0,0.0,0.0,0.0,30,component
variable,dapper_no_rtt,pct_hybrid,23.11,2.475723509714226,22.230000000000008,23.990000000000002,30,component
variable,dapper_no_rtt,pct_degraded_safe,16.686666666666664,3.043107909214925,15.603333333333333,17.773416666666666,30,component
congested,dapper_no_rtt,deadline_miss_rate,0.0,0.0,0.0,0.0,30,component
congested,dapper_no_rtt,p95_latency_ms,33.94268972592376,0.09803104261482531,33.905792187259216,33.976328928607806,30,component
congested,dapper_no_rtt,mean_latency_ms,25.012597088142645,0.18113657767527264,24.94831415515531,25.07737720340451,30,component
congested,dapper_no_rtt,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30,component
congested,dapper_no_rtt,bandwidth_per_1000_frames_kb,2.5,7.628214415734117,0.0,5.833333333333333,30,component
congested,dapper_no_rtt,stale_acceptance_rate,0.0,0.0,0.0,0.0,30,component
congested,dapper_no_rtt,fallback_rate,0.0,0.0,0.0,0.0,30,component
congested,dapper_no_rtt,reuse_rate,0.0,0.0,0.0,0.0,30,component
congested,dapper_no_rtt,remote_attempt_rate,0.0001,0.00030512857662936464,0.0,0.00023333333333333333,30,component
congested,dapper_no_rtt,remote_accept_rate,0.0,0.0,0.0,0.0,30,component
congested,dapper_no_rtt,pct_local_fast,99.99000000000001,0.030512857662934732,99.97666666666667,100.0,30,component
congested,dapper_no_rtt,pct_edge_accurate,0.0,0.0,0.0,0.0,30,component
congested,dapper_no_rtt,pct_hybrid,0.010000000000000002,0.030512857662936467,0.0,0.02333333333333333,30,component
congested,dapper_no_rtt,pct_degraded_safe,0.0,0.0,0.0,0.0,30,component
lossy,dapper_no_rtt,deadline_miss_rate,0.0,0.0,0.0,0.0,30,component
lossy,dapper_no_rtt,p95_latency_ms,34.012278154614826,0.12120943376607804,33.96825412712669,34.05448763655662,30,component
lossy,dapper_no_rtt,mean_latency_ms,25.003209635014095,0.15974262798343122,24.94841033219709,25.060905216187447,30,component
lossy,dapper_no_rtt,usable_confidence_proxy,0.7357928919136454,0.002126258549962069,0.7350336324169814,0.7365592376620625,30,component
lossy,dapper_no_rtt,bandwidth_per_1000_frames_kb,13035.833333333334,400.30609696127266,12894.166666666666,13174.166666666666,30,component
lossy,dapper_no_rtt,stale_acceptance_rate,0.0,0.0,0.0,0.0,30,component
lossy,dapper_no_rtt,fallback_rate,0.0,0.0,0.0,0.0,30,component
lossy,dapper_no_rtt,reuse_rate,0.0,0.0,0.0,0.0,30,component
lossy,dapper_no_rtt,remote_attempt_rate,0.5214333333333333,0.01601224387845092,0.5157666666666666,0.5269666666666666,30,component
lossy,dapper_no_rtt,remote_accept_rate,0.13267931483136083,0.018491667479413956,0.12605122935442944,0.139213962141246,30,component
lossy,dapper_no_rtt,pct_local_fast,47.85666666666667,1.6012243878450902,47.303333333333335,48.423333333333325,30,component
lossy,dapper_no_rtt,pct_edge_accurate,0.0,0.0,0.0,0.0,30,component
lossy,dapper_no_rtt,pct_hybrid,52.14333333333334,1.601224387845092,51.576666666666675,52.696666666666665,30,component
